swap_id,timestamp,station_id,battery_soc_returned,battery_soc_issued,wait_minutes,swap_duration_minutes,batteries_available_before_swap,station_status,downtime_minutes,payment_amount,payment_method,motorcycle_type,service_success
SW000026,2026-01-01 08:55:53,ST005,30.6,81.9,2.3,2.7,16,Operational,0,39.7,Mobile Money,Commercial,True
SW000027,2026-01-01 08:57:51,ST003,29.9,99.6,2.7,4.7,20,Operational,0,37.05,Mobile Money,Commercial,True
SW000028,2026-01-01 08:59:01,ST004,13.9,97.1,6.8,4.9,11,Operational,0,39.61,Wallet,Commercial,True
SW000029,2026-01-01 08:59:01,ST002,29.5,92.2,11.4,2.6,16,Operational,0,37.93,Wallet,Delivery,True
SW000030,2026-01-01 09:09:32,ST001,36.0,87.7,0.5,3.9,11,Operational,0,40.01,Mobile Money,Commercial,True
SW000031,2026-01-01 09:20:57,ST005,32.7,95.5,0.6,3.9,14,Operational,0,34.19,Wallet,Standard,True
SW000032,2026-01-01 09:25:17,ST001,3.0,90.5,4.8,4.4,15,Operational,0,36.8,Mobile Money,Delivery,True
SW000033,2026-01-01 09:31:58,ST005,21.8,92.4,4.7,3.3,13,Operational,0,41.31,Mobile Money,Commercial,True
SW000034,2026-01-01 09:35:00,ST004,8.0,97.7,14.1,3.9,0,Operational,0,0.0,Mobile Money,Commercial,False
SW000035,2026-01-01 09:38:41,ST003,46.5,100.0,5.1,3.9,21,Operational,0,37.24,Card,Delivery,True
SW000036,2026-01-01 09:40:24,ST002,24.3,94.4,3.2,3.3,8,Operational,0,33.76,Mobile Money,Standard,True
SW000037,2026-01-01 09:45:57,ST005,26.6,91.6,4.9,5.0,2,Operational,0,35.83,Wallet,Standard,True
SW000038,2026-01-01 09:46:15,ST001,49.5,94.7,0.6,3.4,18,Operational,0,39.73,Card,Delivery,True
SW000039,2026-01-01 09:51:27,ST001,43.4,98.5,11.4,3.2,11,Operational,0,39.97,Mobile Money,Commercial,True
SW000040,2026-01-01 09:51:35,ST003,37.1,89.2,1.2,3.7,15,Operational,0,38.56,Wallet,Delivery,True
SW000041,2026-01-01 09:55:53,ST003,4.1,93.4,3.2,4.5,15,Operational,0,33.27,Mobile Money,Standard,True
SW000042,2026-01-01 09:55:56,ST002,35.1,89.7,5.7,1.4,11,Operational,0,35.68,Mobile Money,Standard,True
SW000043,2026-01-01 09:59:48,ST004,32.3,97.7,3.7,4.6,16,Operational,0,35.98,Mobile Money,Delivery,True
SW000044,2026-01-01 10:01:19,ST001,23.9,89.1,4.1,3.5,12,Operational,0,35.37,Wallet,Standard,True
SW000045,2026-01-01 10:03:17,ST001,23.3,96.4,0.9,3.2,20,Operational,0,37.48,Mobile Money,Standard,True
SW000046,2026-01-01 10:17:40,ST001,38.9,98.9,4.9,4.0,17,Operational,0,40.22,Mobile Money,Delivery,True
SW000047,2026-01-01 10:19:37,ST005,23.7,90.8,5.2,3.6,15,Operational,0,39.32,Mobile Money,Commercial,True
SW000048,2026-01-01 10:22:23,ST002,21.8,86.7,1.6,3.9,6,Operational,0,38.53,Mobile Money,Standard,True
SW000049,2026-01-01 11:04:50,ST001,29.8,96.3,1.4,2.8,14,Operational,0,35.8,Mobile Money,Standard,True
SW000050,2026-01-01 11:23:22,ST001,7.5,94.6,0.9,4.2,17,Operational,0,36.92,Mobile Money,Standard,True
SW000051,2026-01-01 11:26:46,ST002,21.7,90.6,1.3,4.0,15,Operational,0,40.26,Mobile Money,Delivery,True
SW000052,2026-01-01 11:43:54,ST003,3.2,93.1,2.5,3.7,23,Operational,0,35.09,Mobile Money,Standard,True
SW000053,2026-01-01 11:49:03,ST003,30.4,96.4,4.6,2.9,20,Operational,0,36.13,Mobile Money,Delivery,True
SW000054,2026-01-01 12:04:23,ST004,30.4,98.5,4.8,2.5,21,Operational,0,34.77,Card,Delivery,True
SW000055,2026-01-01 12:07:09,ST004,25.1,96.4,3.1,2.8,24,Operational,0,38.46,Card,Delivery,True
SW000056,2026-01-01 12:11:12,ST004,32.5,91.7,1.4,3.8,16,Operational,0,39.41,Wallet,Commercial,True
SW000057,2026-01-01 12:14:09,ST002,35.7,84.9,1.0,3.9,14,Operational,0,34.96,Card,Standard,True
SW000058,2026-01-01 12:17:32,ST003,26.7,89.9,3.9,4.4,19,Operational,0,37.23,Card,Delivery,True
SW000059,2026-01-01 12:23:29,ST004,14.8,86.3,6.1,4.0,24,Operational,0,35.58,Mobile Money,Delivery,True
SW000060,2026-01-01 12:33:32,ST003,25.6,95.3,3.1,3.7,16,Operational,0,38.08,Wallet,Delivery,True
SW000061,2026-01-01 12:38:44,ST004,18.5,99.9,7.1,2.2,7,Operational,0,33.11,Wallet,Standard,True
SW000062,2026-01-01 12:46:16,ST001,23.3,95.2,1.4,3.3,24,Operational,0,43.98,Mobile Money,Commercial,True
SW000063,2026-01-01 12:49:51,ST003,14.6,96.9,2.5,3.9,24,Operational,0,38.43,Wallet,Commercial,True
SW000064,2026-01-01 13:05:04,ST001,21.2,100.0,1.3,1.5,15,Operational,0,35.88,Mobile Money,Standard,True
SW000065,2026-01-01 13:09:32,ST005,16.7,95.5,1.4,3.5,20,Operational,0,35.7,Mobile Money,Standard,True
SW000066,2026-01-01 13:11:26,ST002,26.6,95.2,1.3,3.1,15,Operational,0,34.89,Mobile Money,Standard,True
SW000067,2026-01-01 13:14:42,ST004,5.8,91.9,2.4,2.8,15,Operational,0,33.41,Card,Standard,True
SW000068,2026-01-01 13:28:46,ST002,25.6,95.0,0.4,3.3,13,Operational,0,37.01,Mobile Money,Standard,True
SW000069,2026-01-01 13:30:30,ST003,26.4,89.5,0.2,2.4,24,Operational,0,40.3,Mobile Money,Delivery,True
SW000070,2026-01-01 13:32:43,ST003,28.4,100.0,3.4,3.1,17,Operational,0,35.57,Mobile Money,Standard,True
SW000071,2026-01-01 13:47:55,ST001,6.7,98.3,5.2,3.4,21,Operational,0,35.87,Mobile Money,Standard,True
SW000072,2026-01-01 14:16:39,ST001,15.7,94.2,0.4,3.2,9,Operational,0,33.45,Wallet,Standard,True
SW000073,2026-01-01 14:27:47,ST002,20.1,91.7,2.3,4.0,16,Operational,0,39.94,Wallet,Standard,True
SW000074,2026-01-01 14:50:54,ST001,26.6,92.7,1.2,3.7,17,Operational,0,37.78,Mobile Money,Delivery,True
SW000075,2026-01-01 14:51:09,ST001,30.6,87.7,2.1,3.6,17,Operational,0,36.55,Mobile Money,Delivery,True
SW000076,2026-01-01 14:55:49,ST005,16.9,98.0,3.2,3.1,17,Operational,0,40.86,Card,Commercial,True
SW000077,2026-01-01 15:00:52,ST004,22.5,99.6,2.5,3.1,18,Operational,0,36.6,Mobile Money,Delivery,True
SW000078,2026-01-01 15:10:42,ST002,45.4,100.0,2.2,3.7,14,Operational,0,35.0,Card,Standard,True
SW000079,2026-01-01 15:20:28,ST005,29.7,100.0,1.4,3.6,15,Operational,0,37.38,Wallet,Delivery,True
SW000080,2026-01-01 15:35:02,ST001,42.5,85.8,1.7,3.7,13,Operational,0,36.95,Wallet,Delivery,True
SW000081,2026-01-01 15:38:21,ST005,30.6,91.1,0.4,3.9,20,Operational,0,41.28,Mobile Money,Commercial,True
SW000082,2026-01-01 15:45:04,ST003,23.0,89.9,2.0,2.5,26,Operational,0,34.8,Wallet,Standard,True
SW000083,2026-01-01 15:45:39,ST005,18.2,100.0,3.7,2.5,20,Operational,0,34.66,Wallet,Standard,True
SW000084,2026-01-01 15:46:20,ST004,15.9,99.2,6.1,4.4,14,Operational,0,34.5,Mobile Money,Standard,True
SW000085,2026-01-01 16:24:49,ST003,25.7,95.0,0.3,2.5,18,Operational,0,34.28,Mobile Money,Standard,True
SW000086,2026-01-01 16:27:18,ST003,31.1,100.0,0.7,4.1,11,Operational,0,38.69,Card,Delivery,True
SW000087,2026-01-01 16:28:15,ST004,48.4,95.6,4.8,4.4,15,Operational,0,36.05,Card,Delivery,True
SW000088,2026-01-01 16:36:43,ST001,12.1,97.7,7.6,4.4,19,Operational,0,43.13,Wallet,Commercial,True
SW000089,2026-01-01 16:50:55,ST004,29.7,100.0,0.8,3.6,17,Operational,0,37.17,Wallet,Delivery,True
SW000090,2026-01-01 17:03:10,ST001,44.6,87.5,7.6,3.3,6,Operational,0,36.15,Wallet,Standard,True
SW000091,2026-01-01 17:06:40,ST001,13.1,87.2,5.1,4.7,12,Operational,0,40.37,Mobile Money,Commercial,True
SW000092,2026-01-01 17:08:16,ST001,33.6,93.7,7.3,4.0,5,Operational,0,37.31,Mobile Money,Standard,True
SW000093,2026-01-01 17:20:20,ST004,26.1,93.0,3.6,3.7,13,Operational,0,33.86,Wallet,Standard,True
SW000094,2026-01-01 17:25:58,ST003,26.6,96.3,1.3,3.9,15,Operational,0,41.99,Mobile Money,Delivery,True
SW000095,2026-01-01 17:26:00,ST004,24.6,93.5,5.0,4.0,18,Operational,0,38.21,Mobile Money,Delivery,True
SW000096,2026-01-01 17:34:44,ST001,12.8,100.0,11.3,4.4,6,Operational,0,39.74,Card,Delivery,True
SW000097,2026-01-01 17:35:58,ST002,24.5,88.7,4.3,2.5,8,Operational,0,40.09,Mobile Money,Commercial,True
SW000098,2026-01-01 17:41:16,ST003,11.0,95.1,3.8,2.6,15,Operational,0,36.8,Mobile Money,Delivery,True
SW000099,2026-01-01 17:41:52,ST001,25.3,90.0,2.6,3.1,10,Operational,0,37.93,Mobile Money,Delivery,True
SW000100,2026-01-01 17:45:08,ST003,20.2,100.0,2.6,3.0,10,Operational,0,38.57,Mobile Money,Delivery,True
SW000101,2026-01-01 17:45:15,ST001,46.2,93.1,20.0,3.6,2,Operational,0,39.76,Mobile Money,Delivery,True
SW000102,2026-01-01 17:48:47,ST001,31.4,88.9,4.5,3.9,8,Operational,0,34.62,Mobile Money,Standard,True
SW000103,2026-01-01 17:49:09,ST002,41.1,98.3,4.7,3.0,8,Operational,0,34.58,Mobile Money,Standard,True
SW000104,2026-01-01 17:59:20,ST003,32.8,94.8,1.6,3.1,19,Operational,0,39.91,Card,Delivery,True
SW000105,2026-01-01 18:15:22,ST003,5.1,95.6,7.0,4.7,13,Operational,0,39.72,Mobile Money,Delivery,True
SW000106,2026-01-01 18:20:14,ST005,32.4,90.4,12.6,3.5,4,Operational,0,37.16,Mobile Money,Delivery,True
SW000107,2026-01-01 18:22:50,ST004,28.6,92.3,6.4,3.8,10,Operational,0,36.03,Mobile Money,Delivery,True
SW000108,2026-01-01 18:27:45,ST001,30.8,84.7,0.8,3.4,11,Operational,0,37.61,Wallet,Delivery,True
SW000109,2026-01-01 18:34:01,ST001,22.8,93.4,7.7,3.2,11,Operational,0,32.63,Card,Standard,True
SW000110,2026-01-01 18:41:28,ST001,22.4,93.8,5.4,2.3,2,Operational,0,0.0,Mobile Money,Delivery,False
SW000111,2026-01-01 18:43:28,ST003,27.8,95.9,0.2,2.5,8,Operational,0,40.05,Card,Delivery,True
SW000112,2026-01-01 18:43:31,ST005,36.3,87.1,6.9,3.0,9,Operational,0,34.39,Mobile Money,Standard,True
SW000113,2026-01-01 18:49:18,ST001,25.2,92.1,0.4,3.5,4,Operational,0,33.04,Mobile Money,Standard,True
SW000114,2026-01-01 18:53:34,ST005,23.5,88.7,7.6,3.0,8,Operational,0,36.03,Mobile Money,Delivery,True
SW000115,2026-01-01 18:56:26,ST003,24.4,87.0,5.4,3.3,15,Operational,0,36.47,Wallet,Standard,True
SW000116,2026-01-01 19:01:02,ST003,33.2,96.1,2.8,2.9,20,Operational,0,33.37,Wallet,Standard,True
SW000117,2026-01-01 19:03:30,ST004,35.9,97.5,7.9,5.7,9,Operational,0,33.67,Mobile Money,Standard,True
SW000118,2026-01-01 19:04:20,ST003,23.6,97.5,6.5,4.2,11,Operational,0,39.29,Mobile Money,Delivery,True
SW000119,2026-01-01 19:08:07,ST001,23.1,94.2,2.5,3.3,9,Operational,0,37.32,Mobile Money,Standard,True
SW000120,2026-01-01 19:11:08,ST002,19.0,100.0,1.6,3.5,10,Operational,0,34.0,Mobile Money,Standard,True
SW000121,2026-01-01 19:12:10,ST005,21.1,99.0,1.0,5.5,8,Operational,0,33.3,Wallet,Standard,True
SW000122,2026-01-01 19:18:01,ST001,20.3,89.9,2.1,4.5,10,Operational,0,34.54,Mobile Money,Standard,True
SW000123,2026-01-01 19:24:37,ST004,26.7,93.2,9.9,3.3,9,Operational,0,37.45,Wallet,Commercial,True
SW000124,2026-01-01 19:28:29,ST002,34.4,96.9,1.8,4.3,14,Operational,0,39.69,Mobile Money,Commercial,True
SW000125,2026-01-01 19:29:31,ST002,19.3,95.8,3.3,4.6,10,Operational,0,37.33,Wallet,Delivery,True
SW000126,2026-01-01 19:38:14,ST005,43.8,92.7,6.8,4.8,9,Operational,0,42.23,Mobile Money,Commercial,True
SW000127,2026-01-01 19:39:38,ST003,17.7,94.0,3.2,5.0,13,Operational,0,39.62,Mobile Money,Delivery,True
SW000128,2026-01-01 19:40:26,ST003,30.0,95.1,7.4,3.1,13,Operational,0,36.33,Card,Standard,True
SW000129,2026-01-01 19:45:49,ST004,8.8,97.0,3.3,2.7,7,Operational,0,41.62,Mobile Money,Commercial,True
SW000130,2026-01-01 19:49:38,ST004,25.5,94.8,3.2,2.7,18,Operational,0,39.18,Card,Delivery,True
SW000131,2026-01-01 19:51:37,ST004,21.2,97.3,7.2,4.4,10,Operational,0,38.01,Mobile Money,Delivery,True
SW000132,2026-01-01 19:54:40,ST004,41.1,99.1,5.8,4.6,13,Operational,0,36.71,Wallet,Delivery,True
SW000133,2026-01-01 20:00:27,ST003,8.0,99.7,4.2,3.5,4,Operational,0,34.85,Card,Standard,True
SW000134,2026-01-01 20:02:27,ST005,15.0,91.6,2.6,4.0,10,Operational,0,39.04,Mobile Money,Delivery,True
SW000135,2026-01-01 20:03:04,ST004,45.3,94.1,2.6,3.3,12,Operational,0,36.24,Wallet,Standard,True
SW000136,2026-01-01 20:08:28,ST003,15.7,99.0,12.0,3.3,9,Operational,0,39.65,Card,Delivery,True
SW000137,2026-01-01 20:11:18,ST003,21.4,89.4,1.4,2.5,9,Operational,0,36.21,Mobile Money,Delivery,True
SW000138,2026-01-01 20:11:24,ST005,15.5,98.4,4.9,3.8,13,Operational,0,39.69,Wallet,Delivery,True
SW000139,2026-01-01 20:14:47,ST001,32.7,93.2,10.1,3.9,10,Operational,0,37.11,Card,Commercial,True
SW000140,2026-01-01 20:15:31,ST004,35.2,99.6,5.5,3.8,11,Operational,0,41.93,Mobile Money,Commercial,True
SW000141,2026-01-01 20:16:28,ST001,27.9,100.0,6.0,4.1,2,Operational,0,35.8,Card,Delivery,True
SW000142,2026-01-01 20:18:12,ST002,11.4,100.0,20.5,3.8,1,Operational,0,38.17,Wallet,Delivery,True
SW000143,2026-01-01 20:19:28,ST003,3.0,93.1,4.0,3.9,10,Operational,0,37.98,Card,Delivery,True
SW000144,2026-01-01 20:23:59,ST002,34.0,98.6,5.4,3.8,17,Operational,0,37.72,Mobile Money,Delivery,True
SW000145,2026-01-01 20:28:18,ST002,11.6,98.8,4.2,4.2,9,Operational,0,35.05,Mobile Money,Standard,True
SW000146,2026-01-01 20:31:41,ST002,21.9,94.7,4.5,3.2,5,Operational,0,35.67,Wallet,Standard,True
SW000147,2026-01-01 20:35:08,ST004,17.7,93.2,3.3,3.4,17,Operational,0,30.64,Mobile Money,Standard,True
SW000148,2026-01-01 20:37:37,ST002,35.9,93.4,2.6,3.8,4,Operational,0,36.4,Mobile Money,Delivery,True
SW000149,2026-01-01 20:39:07,ST004,42.8,97.6,4.9,3.4,6,Operational,0,40.59,Wallet,Delivery,True
SW000150,2026-01-01 20:46:16,ST002,27.9,95.6,5.2,4.0,2,Operational,0,0.0,Mobile Money,Commercial,False
SW000151,2026-01-01 20:51:23,ST005,15.2,89.7,5.4,3.9,12,Operational,0,40.02,Wallet,Delivery,True
SW000152,2026-01-01 20:51:27,ST003,28.5,89.9,9.9,3.1,17,Operational,0,39.5,Mobile Money,Commercial,True
SW000153,2026-01-01 20:52:15,ST001,29.1,95.5,2.1,3.5,10,Operational,0,33.97,Mobile Money,Standard,True
SW000154,2026-01-01 20:54:41,ST003,47.8,92.0,3.5,2.4,8,Operational,0,40.63,Mobile Money,Commercial,True
SW000155,2026-01-01 20:54:56,ST005,22.1,93.7,3.7,4.7,11,Operational,0,34.01,Mobile Money,Standard,True
SW000156,2026-01-01 20:56:53,ST004,10.2,98.6,1.2,4.6,15,Operational,0,38.22,Mobile Money,Delivery,True
SW000157,2026-01-01 21:08:58,ST002,18.0,92.5,3.2,3.4,9,Operational,0,35.27,Mobile Money,Standard,True
SW000158,2026-01-01 21:13:50,ST001,38.3,100.0,2.2,2.2,16,Operational,0,39.57,Card,Commercial,True
SW000159,2026-01-01 21:22:09,ST001,38.6,100.0,3.1,3.0,17,Operational,0,35.2,Mobile Money,Standard,True
SW000160,2026-01-01 21:29:46,ST001,20.5,88.4,9.0,5.0,15,Operational,0,38.78,Card,Commercial,True
SW000161,2026-01-01 21:31:27,ST001,39.3,94.0,2.1,3.2,16,Operational,0,34.68,Mobile Money,Standard,True
SW000162,2026-01-01 21:56:06,ST004,23.1,96.6,3.5,3.5,20,Operational,0,33.32,Mobile Money,Standard,True
SW000163,2026-01-01 21:57:43,ST001,15.3,94.4,3.3,2.8,17,Operational,0,34.99,Mobile Money,Standard,True
SW000164,2026-01-01 21:59:03,ST001,29.0,99.6,2.9,3.5,13,Operational,0,34.25,Wallet,Standard,True
SW000165,2026-01-01 22:02:02,ST003,19.9,97.4,16.8,4.5,0,Operational,0,0.0,Card,Delivery,False
SW000166,2026-01-01 22:12:44,ST001,3.0,98.2,5.0,1.9,18,Operational,0,34.28,Card,Delivery,True
SW000167,2026-01-01 22:22:09,ST004,22.0,92.2,3.4,3.7,19,Operational,0,35.94,Mobile Money,Standard,True
SW000168,2026-01-01 22:28:55,ST004,9.5,92.4,1.6,2.3,23,Operational,0,40.23,Mobile Money,Commercial,True
SW000169,2026-01-01 22:33:50,ST005,20.3,90.2,3.5,2.8,5,Operational,0,39.34,Card,Delivery,True
SW000170,2026-01-01 22:42:34,ST001,23.4,94.5,3.1,2.9,18,Operational,0,36.49,Wallet,Delivery,True
SW000171,2026-01-01 22:48:01,ST004,26.0,96.4,0.5,3.4,20,Operational,0,37.85,Mobile Money,Delivery,True
SW000172,2026-01-01 22:48:26,ST001,22.4,95.6,0.4,3.7,18,Operational,0,37.42,Mobile Money,Commercial,True
SW000173,2026-01-01 22:51:29,ST005,33.9,95.1,1.2,3.7,10,Operational,0,44.37,Card,Commercial,True
SW000174,2026-01-01 22:52:23,ST004,32.1,92.8,1.5,2.7,9,Operational,0,34.55,Mobile Money,Standard,True
SW000175,2026-01-01 23:04:34,ST003,39.5,92.3,1.9,3.1,19,Operational,0,34.73,Mobile Money,Delivery,True
SW000176,2026-01-01 23:12:30,ST001,27.5,87.0,8.7,2.2,19,Operational,0,36.84,Mobile Money,Delivery,True
SW000177,2026-01-01 23:24:06,ST005,17.6,92.3,2.5,4.9,12,Operational,0,38.79,Mobile Money,Commercial,True
SW000178,2026-01-02 00:26:32,ST005,19.3,92.7,0.5,2.9,12,Operational,0,37.51,Mobile Money,Delivery,True
SW000179,2026-01-02 01:14:25,ST001,32.9,97.8,1.6,1.6,23,Operational,0,37.55,Mobile Money,Delivery,True
SW000180,2026-01-02 05:13:17,ST003,26.5,91.4,2.4,4.1,25,Operational,0,39.27,Wallet,Commercial,True
SW000181,2026-01-02 05:58:45,ST003,21.5,85.9,1.8,2.9,19,Operational,0,41.6,Mobile Money,Commercial,True
SW000182,2026-01-02 06:18:53,ST002,26.6,95.8,1.2,3.9,13,Operational,0,36.97,Wallet,Standard,True
SW000183,2026-01-02 07:01:14,ST003,22.7,100.0,11.0,3.9,17,Operational,0,33.97,Mobile Money,Standard,True
SW000184,2026-01-02 07:16:35,ST004,6.4,96.4,0.7,4.4,13,Operational,0,40.46,Mobile Money,Commercial,True
SW000185,2026-01-02 07:25:38,ST003,30.2,92.9,3.6,3.3,17,Operational,0,40.89,Mobile Money,Commercial,True
SW000186,2026-01-02 07:31:55,ST002,16.2,94.6,7.7,2.6,13,Operational,0,39.13,Mobile Money,Commercial,True
SW000187,2026-01-02 07:45:49,ST003,28.3,95.5,3.8,3.0,16,Operational,0,37.29,Card,Standard,True
SW000188,2026-01-02 07:54:41,ST002,30.0,90.1,1.0,3.9,6,Operational,0,37.63,Mobile Money,Delivery,True
SW000189,2026-01-02 07:56:50,ST003,35.4,94.8,1.0,3.5,22,Operational,0,38.23,Wallet,Delivery,True
SW000190,2026-01-02 07:58:38,ST001,14.9,99.6,3.8,5.0,0,Operational,0,0.0,Mobile Money,Standard,False
SW000191,2026-01-02 08:03:11,ST005,24.0,98.7,3.6,4.0,5,Operational,0,37.38,Mobile Money,Delivery,True
SW000192,2026-01-02 08:03:55,ST004,9.7,95.5,2.3,3.4,0,Operational,0,0.0,Mobile Money,Delivery,False
SW000193,2026-01-02 08:04:19,ST001,16.3,91.8,2.7,3.9,14,Operational,0,37.16,Card,Delivery,True
SW000194,2026-01-02 08:06:32,ST005,27.5,95.3,4.9,5.2,8,Operational,0,35.05,Mobile Money,Delivery,True
SW000195,2026-01-02 08:09:12,ST005,17.5,90.2,7.8,5.0,12,Operational,0,36.24,Mobile Money,Standard,True
SW000196,2026-01-02 08:14:28,ST004,6.0,87.3,10.3,4.0,18,Operational,0,39.58,Mobile Money,Delivery,True
SW000197,2026-01-02 08:18:12,ST001,22.7,94.1,1.7,2.8,17,Operational,0,38.52,Card,Commercial,True
SW000198,2026-01-02 08:22:41,ST004,24.5,94.2,3.7,3.0,6,Operational,0,35.91,Wallet,Standard,True
SW000199,2026-01-02 08:24:45,ST003,25.5,92.5,3.4,4.8,12,Operational,0,36.63,Card,Standard,True
SW000200,2026-01-02 08:30:57,ST003,55.0,98.0,7.7,3.3,1,Operational,0,39.55,Card,Commercial,True
SW000201,2026-01-02 08:34:44,ST001,34.0,96.2,21.7,3.4,3,Operational,0,33.74,Wallet,Standard,True
SW000202,2026-01-02 08:42:59,ST004,29.9,90.5,6.0,3.9,17,Operational,0,34.77,Mobile Money,Standard,True
SW000203,2026-01-02 08:50:21,ST002,12.2,95.1,3.2,4.1,10,Operational,0,38.46,Wallet,Delivery,True
SW000204,2026-01-02 08:50:58,ST004,40.5,88.4,3.2,3.2,8,Operational,0,34.49,Card,Standard,True
SW000205,2026-01-02 09:00:43,ST001,21.7,98.7,4.1,3.7,7,Operational,0,35.75,Mobile Money,Standard,True
SW000206,2026-01-02 09:01:18,ST001,22.7,89.9,7.2,4.2,14,Operational,0,32.38,Card,Standard,True
SW000207,2026-01-02 09:01:42,ST001,27.1,94.9,2.4,2.9,18,Operational,0,37.41,Mobile Money,Standard,True
SW000208,2026-01-02 09:04:23,ST003,29.6,97.4,4.1,2.7,9,Operational,0,36.86,Wallet,Delivery,True
SW000209,2026-01-02 09:09:53,ST003,12.6,92.5,5.7,4.4,16,Operational,0,35.57,Mobile Money,Standard,True
SW000210,2026-01-02 09:14:29,ST001,25.4,93.4,2.8,4.8,15,Operational,0,37.63,Card,Delivery,True
SW000211,2026-01-02 09:19:37,ST005,20.6,99.7,5.6,2.6,10,Operational,0,41.93,Mobile Money,Commercial,True
SW000212,2026-01-02 09:20:33,ST002,34.3,95.7,1.6,3.6,13,Operational,0,33.31,Mobile Money,Standard,True
SW000213,2026-01-02 09:23:21,ST005,23.8,96.1,6.2,4.3,19,Operational,0,36.19,Mobile Money,Delivery,True
SW000214,2026-01-02 09:31:39,ST005,18.7,89.5,8.0,3.6,12,Operational,0,35.28,Wallet,Standard,True
SW000215,2026-01-02 09:32:59,ST003,27.2,96.2,1.0,2.7,18,Operational,0,36.23,Mobile Money,Standard,True
SW000216,2026-01-02 09:37:50,ST002,17.6,90.1,1.2,2.6,13,Operational,0,33.1,Card,Standard,True
SW000217,2026-01-02 09:45:08,ST005,16.1,97.3,1.7,2.9,11,Operational,0,37.81,Mobile Money,Delivery,True
SW000218,2026-01-02 10:12:42,ST005,16.3,100.0,6.7,3.4,14,Operational,0,35.63,Mobile Money,Delivery,True
SW000219,2026-01-02 10:14:48,ST002,10.5,93.3,2.0,4.5,19,Operational,0,34.13,Mobile Money,Standard,True
SW000220,2026-01-02 10:17:07,ST003,14.3,92.8,6.4,3.2,24,Operational,0,35.4,Wallet,Standard,True
SW000221,2026-01-02 10:29:39,ST005,28.2,93.5,7.4,3.6,13,Operational,0,37.92,Mobile Money,Delivery,True
